"Survey_Year","hh_categorisation_number","hh_categorisation_description","Food_code","Food_Code_description","ew:Sum(expenditure_*_household_weight)","ew2:Sum(expenditure_squared_*_household_weight_squared)","mw:Sum(members_of_household_*_household_weight)","mw2:(Sum(members_of_household_squared_*_household_weight_squared)","ewmw:Sum(expenditure_*_weighted_number_of_household_members_*_household_weight)","Combined_hh_categorisation_and_food_code","Estimate_of_average_expenditure:0.5*(ew/mw)","calc1:ew2/(ew*ew)","calc2:ewmw/(ew*mw)","calc3:mw2/(mw*mw)","standard_error:estimate_of_average_expenditure_*_(Square_Root(calc1-calc2+calc3)","residual_standard_error:standard_error_*_100/Estimate_of_average_expenditure"
201819,2,"FULL TIME EMPLOYEE AT WORK","cat811","ALL FRUIT AND VEGETABLES (EXC FRESH AND PROCESSED POTATOES)",8909228.46,615094563793.51,7907.31,355829.4347,325546904.1849,"2_cat811",563.353938317835,0.00774928613857106,0.00924218599739437,0.00569094436637878,36.5010076734272,6.47923182758224
201819,2,"FULL TIME EMPLOYEE AT WORK","cat850","WHITE BREAD (INC PREMIUM AND SOFTGRAIN)",398213.93,1820693678.2709,7907.31,355829.4347,17238962.4065,"2_cat850",25.1801137175601,0.0114816416491601,0.0109495407659696,0.00569094436637878,1.98636551349711,7.88862804901415
201819,2,"FULL TIME EMPLOYEE AT WORK","cat851","Brown and wholemeal bread",241006.96,640621193.3566,7907.31,355829.4347,8921953.68840001,"2_cat851",15.2395036997411,0.0110291522719068,0.00936335760535393,0.00569094436637878,1.30711409843586,8.57714348307855
201819,2,"FULL TIME EMPLOYEE AT WORK","cat852","Cakes, buns and pastries",1219776.71,22511289096.8051,7907.31,355829.4347,48590938.9456,"2_cat852",77.1296882251993,0.0151300266047627,0.0100757221949458,0.00569094436637878,7.99520885807409,10.365929179864
201819,2,"FULL TIME EMPLOYEE AT WORK","cat853","Biscuits, cakes, buns and crispbreads",2488650.55,53135702384.3315,7907.31,355829.4347,96321347.4897,"2_cat853",157.363917059025,0.00857943303984005,0.00978948536627557,0.00569094436637878,10.533856495175,6.69394654889271
201819,2,"FULL TIME EMPLOYEE AT WORK","cat860","Biscuits",1268873.84,15754938584.2052,7907.31,355829.4347,47730408.5441,"2_cat860",80.2342288338259,0.00978542802798986,0.00951432403332836,0.00569094436637878,6.19522993834469,7.72143015317777
201819,2,"FULL TIME EMPLOYEE AT WORK","cat870","OTHER CEREALS (EXC BREAD, CAKES & BISCS, FLOUR & BRKFAST CEREALS)",3344716.89,105389621137.501,7907.31,355829.4347,144219195.4894,"2_cat870",211.49524237699,0.0094206119905102,0.010905985995158,0.00569094436637878,13.7155445136343,6.48503690176934
201819,2,"FULL TIME EMPLOYEE AT WORK","cat871","OTHER CEREALS (EXC BREAD, CAKES AND BISCUITS)",4037830.85,139105605890.035,7907.31,355829.4347,169725694.0809,"2_cat871",255.322660297876,0.00853195170671971,0.0106316507575196,0.00569094436637878,15.30072103508,5.99269998880208
201819,2,"FULL TIME EMPLOYEE AT WORK","cat872","OTHER CEREALS (EXC BREAD ONLY)",6526481.4,296526912355.851,7907.31,355829.4347,266047041.5706,"2_cat872",412.686577356901,0.00696154934958129,0.0103105197781054,0.00569094436637878,19.9715316342607,4.83939452602764
201819,2,"FULL TIME EMPLOYEE AT WORK","cat880","TOTAL CEREALS (INC BREAD, CAKES & BISCS, FLOUR & BRKFAST CEREALS)",8231079.65,431420569739.248,7907.31,355829.4347,333096758.2029,"2_cat880",520.472806175552,0.00636776810768935,0.0102356359769348,0.00569094436637878,22.2228875861157,4.26974998932414
201819,2,"FULL TIME EMPLOYEE AT WORK","cat900","OTHER BEVERAGES (EXC TEA AND INSTANT COFFEE)",372779.93,8609718916.3405,7907.31,355829.4347,13828695.7593,"2_cat900",23.5718550303454,0.0619560794864441,0.00938274535509214,0.00569094436637878,5.68977310248741,24.1379946345447
201819,2,"FULL TIME EMPLOYEE AT WORK","cat901","Ice cream and ice cream products",556187.23,6405412156.2739,7907.31,355829.4347,24125159.5374,"2_cat901",35.1691807959977,0.0207064216344716,0.0109711059979549,0.00569094436637878,4.36810003575996,12.4202495960812
201819,2,"FULL TIME EMPLOYEE AT WORK","cat910","Tea, coffee and soft drinks",2972049.11,77061781382.2805,7907.31,355829.4347,114680956.5026,"2_cat910",187.930478885993,0.00872422949240061,0.00975970196055663,0.00569094436637878,12.8226879990402,6.8231018592886
201819,2,"FULL TIME EMPLOYEE AT WORK","cat920","SUGAR, JAM AND CONFECTIONERY",2333780.81,61995102097.1684,7907.31,355829.4347,90438406.6697,"2_cat920",147.571096238797,0.0113824892985795,0.00980153439630937,0.00569094436637878,12.5841889529389,8.52754317998385
